Date,Open,High,Low,Close
2020-03-30,1.10284,1.10436,1.09297,1.10305
2020-03-29,1.11354,1.11378,1.10122,1.11391
2020-03-26,1.10462,1.10865,1.09552,1.10483
2020-03-25,1.08875,1.10255,1.08765,1.08896
2020-03-24,1.08012,1.08495,1.07702,1.08026
2020-03-23,1.07647,1.08885,1.07534,1.07646
2020-03-22,1.06875,1.08248,1.06604,1.06944
2020-03-19,1.06585,1.08299,1.06545,1.06574
2020-03-18,1.09434,1.09456,1.06979,1.09615
2020-03-17,1.10169,1.10450,1.08319,1.10155
2020-03-16,1.11633,1.11891,1.09579,1.11632
2020-03-15,1.11596,1.12354,1.10887,1.11554
2020-03-12,1.11836,1.12213,1.10654,1.11849
2020-03-11,1.12607,1.13329,1.10808,1.12615
2020-03-10,1.13162,1.13660,1.12590,1.13165
2020-03-09,1.13974,1.14230,1.13341,1.13980
2020-03-08,1.13861,1.14958,1.13568,1.13860
2020-03-05,1.12238,1.13547,1.12139,1.12238
2020-03-04,1.11391,1.12045,1.11217,1.11391
2020-03-03,1.11773,1.11857,1.10969,1.11807
2020-03-02,1.11443,1.12075,1.10973,1.11441
2020-03-01,1.10525,1.11641,1.10373,1.10513
2020-02-27,1.09955,1.10528,1.09516,1.09972
2020-02-26,1.08857,1.10057,1.08857,1.08859
2020-02-25,1.08810,1.09036,1.08556,1.08820
2020-02-24,1.08491,1.08817,1.08318,1.08492
2020-02-23,1.08386,1.08637,1.08085,1.08390
2020-02-20,1.07877,1.08637,1.07877,1.07880
2020-02-19,1.08096,1.08210,1.07796,1.08101
2020-02-18,1.07947,1.08085,1.07836,1.07954
2020-02-17,1.08370,1.08390,1.07869,1.08401
2020-02-16,1.08406,1.08540,1.08302,1.08418
2020-02-13,1.08460,1.08625,1.08313,1.08460
2020-02-12,1.08764,1.08909,1.08355,1.08760
2020-02-11,1.09218,1.09250,1.08871,1.09194
2020-02-10,1.09123,1.09270,1.08935,1.09135
2020-02-09,1.09487,1.09613,1.09096,1.09493
2020-02-06,1.09811,1.09870,1.09469,1.09830
2020-02-05,1.10005,1.10129,1.09655,1.10023
2020-02-04,1.10447,1.10485,1.09983,1.10473
2020-02-03,1.10629,1.10656,1.10339,1.10629
2020-02-02,1.10891,1.10891,1.10435,1.10898
2020-01-30,1.10288,1.10902,1.10180,1.10291
2020-01-29,1.10141,1.10366,1.10082,1.10169
2020-01-28,1.10229,1.10302,1.09932,1.10226
2020-01-27,1.10197,1.10266,1.09986,1.10198
2020-01-26,1.10263,1.10400,1.10101,1.10254
2020-01-23,1.10553,1.10608,1.10212,1.10552
2020-01-22,1.10976,1.11032,1.10370,1.10964
2020-01-21,1.10859,1.10978,1.10716,1.10856
2020-01-20,1.10964,1.11198,1.10865,1.10969
2020-01-19,1.10952,1.11049,1.10775,1.10946
2020-01-16,1.11380,1.11450,1.10876,1.11396
2020-01-15,1.11527,1.11719,1.11298,1.11540
2020-01-14,1.11297,1.11635,1.11203,1.11309
2020-01-13,1.11345,1.11458,1.11056,1.11357
2020-01-12,1.11166,1.11447,1.11141,1.11167
2020-01-09,1.11093,1.11210,1.10862,1.11111
2020-01-08,1.11144,1.11222,1.10951,1.11132
2020-01-07,1.11557,1.11652,1.11109,1.11547
2020-01-06,1.11958,1.11995,1.11349,1.11980
2020-01-05,1.11625,1.12082,1.11581,1.11620
2020-01-02,1.11708,1.11807,1.11257,1.11714
2020-01-01,1.12189,1.12271,1.11668,1.12208
