Date,Open,High,Low,Close
2019-03-21,1.31303,1.32221,1.30840,1.31323
2019-03-20,1.32065,1.32293,1.30680,1.32053
2019-03-19,1.32691,1.32696,1.31499,1.32714
2019-03-18,1.32644,1.33087,1.32428,1.32644
2019-03-17,1.32975,1.32996,1.31320,1.32972
2019-03-14,1.32573,1.32961,1.32072,1.32586
2019-03-13,1.32843,1.33316,1.32111,1.32857
2019-03-12,1.30647,1.32305,1.30647,1.30668
2019-03-11,1.32459,1.32459,1.30107,1.32485
2019-03-10,1.29842,1.30976,1.29623,1.29884
2019-03-07,1.30924,1.31080,1.30059,1.30924
2019-03-06,1.31801,1.31874,1.30893,1.31822
2019-03-05,1.31562,1.31709,1.31259,1.31567
2019-03-04,1.31787,1.31973,1.30995,1.31785
2019-03-03,1.32378,1.32549,1.31690,1.32398
2019-02-28,1.32649,1.32864,1.32147,1.32649
2019-02-27,1.33161,1.33209,1.32651,1.33182
2019-02-26,1.32610,1.33488,1.32345,1.32580
2019-02-25,1.31266,1.32802,1.31234,1.31272
2019-02-24,1.30644,1.30959,1.30570,1.30656
2019-02-21,1.30409,1.30806,1.29722,1.30414
2019-02-20,1.30439,1.30924,1.30276,1.30451
2019-02-19,1.30617,1.30854,1.30137,1.30613
2019-02-18,1.29227,1.30466,1.28966,1.29241
2019-02-17,1.29032,1.29373,1.28939,1.29056
2019-02-14,1.27992,1.28598,1.27866,1.27984
2019-02-13,1.28568,1.28785,1.27740,1.28568
2019-02-12,1.28909,1.29571,1.28609,1.28921
2019-02-11,1.28647,1.28966,1.28343,1.28641
2019-02-10,1.29373,1.29400,1.28601,1.29368
2019-02-07,1.29490,1.29769,1.29246,1.29492
2019-02-06,1.29344,1.29948,1.28563,1.29344
2019-02-05,1.29584,1.29786,1.29299,1.29572
2019-02-04,1.30308,1.30514,1.29299,1.30310
2019-02-03,1.30786,1.30988,1.30422,1.30774
2019-01-31,1.31092,1.31147,1.30458,1.31094
2019-01-30,1.31168,1.31607,1.31012,1.31172
2019-01-29,1.30806,1.31199,1.30581,1.30804
2019-01-28,1.31600,1.31966,1.31315,1.31601
2019-01-27,1.32078,1.32100,1.31387,1.32085
2019-01-24,1.31122,1.31766,1.30635,1.31216
2019-01-23,1.30832,1.30959,1.30137,1.30822
2019-01-22,1.29567,1.30803,1.29458,1.29577
2019-01-21,1.28927,1.29671,1.28560,1.28917
2019-01-20,1.28535,1.29107,1.28317,1.28535
2019-01-17,1.29830,1.29938,1.28921,1.29840
2019-01-16,1.28848,1.29400,1.28361,1.28858
2019-01-15,1.28728,1.28957,1.28273,1.28722
2019-01-14,1.28761,1.29166,1.27562,1.28750
2019-01-13,1.28498,1.29278,1.28210,1.28498
2019-01-10,1.27584,1.28375,1.27167,1.27540
2019-01-09,1.27995,1.28011,1.27306,1.27997
2019-01-08,1.27388,1.28029,1.27178,1.27379
2019-01-07,1.27869,1.27923,1.27149,1.27861
2019-01-06,1.27329,1.27877,1.27243,1.27350
2019-01-03,1.26290,1.27397,1.26178,1.26288
2019-01-02,1.25188,1.26382,1.25188,1.25219
2019-01-01,1.27523,1.27734,1.25846,1.27543
2018-12-31,1.27502,1.27567,1.27146,1.27380
2018-12-30,1.26892,1.28139,1.26818,1.26936
2018-12-27,1.26461,1.27000,1.26365,1.26462
2018-12-26,1.26485,1.26712,1.26188,1.26488
2018-12-25,1.26894,1.27197,1.26651,1.26887
2018-12-24,1.27129,1.27779,1.26679,1.27108
2018-12-23,1.26501,1.27366,1.26370,1.26489
2018-12-20,1.26699,1.26973,1.26336,1.26698
2018-12-19,1.26252,1.27053,1.26151,1.26279
2018-12-18,1.26545,1.26791,1.26084,1.26550
2018-12-17,1.26154,1.27050,1.26118,1.26157
2018-12-16,1.25862,1.26448,1.25761,1.25856
2018-12-13,1.26539,1.26539,1.25349,1.26550
2018-12-12,1.26248,1.26866,1.26110,1.26287
2018-12-11,1.24944,1.26707,1.24813,1.24930
2018-12-10,1.25597,1.26347,1.25038,1.25612
2018-12-09,1.27204,1.27567,1.25134,1.27210
2018-12-06,1.27809,1.27885,1.27338,1.27786
2018-12-05,1.27272,1.28002,1.27004,1.27277
2018-12-04,1.27197,1.27926,1.26733,1.27205
2018-12-03,1.27291,1.28340,1.27171,1.27259
2018-12-02,1.27502,1.28243,1.27000,1.27535
2018-11-29,1.27841,1.28069,1.27369,1.27845
2018-11-28,1.28230,1.28518,1.27567,1.28241
2018-11-27,1.27421,1.28061,1.27338,1.27437
2018-11-26,1.28123,1.28205,1.27273,1.28123
2018-11-25,1.28190,1.28627,1.27984,1.28123
2018-11-22,1.28758,1.28849,1.28008,1.28760
2018-11-21,1.27766,1.29212,1.27738,1.27773
2018-11-20,1.27877,1.28205,1.27751,1.27892
2018-11-19,1.28569,1.28811,1.28043,1.28598
2018-11-18,1.28551,1.28811,1.28049,1.28332
2018-11-15,1.27662,1.28771,1.27662,1.27665
2018-11-14,1.29853,1.30285,1.27449,1.29862
2018-11-13,1.30176,1.30298,1.28934,1.30141
2018-11-12,1.28554,1.30402,1.28531,1.28579
2018-11-11,1.29384,1.29483,1.28282,1.29384
2018-11-08,1.30664,1.30702,1.29744,1.30668
2018-11-07,1.31273,1.31503,1.30893,1.31285
2018-11-06,1.31149,1.31744,1.30757,1.31125
2018-11-05,1.30600,1.30957,1.30237,1.30581
2018-11-04,1.30056,1.30353,1.29671,1.30056
